Código,Indicador,Agrupación,Eje,Servicio,Etapa
1.1.1.1,"Se brinda el servicio de recolección, depósito y tratamiento de residuos ",Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Planificación
1.1.1.2,Reglamento del servicio,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Planificación
1.1.1.3,"Planificación del servicio de recolección, depósito y tratamiento de residuos sólidos ",Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Planificación
1.1.1.4,Identificación de la población vulnerable para la prestación del servicio,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Planificación
1.1.1.5,Inclusión en la planificación de la población vulnerable para la prestación del servicio,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Planificación
1.1.1.6,Frecuencia en la actualización de la tasa por el servicio,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Planificación
1.1.1.7,Estrategias de promoción de la gestión integral en la ciudadanía,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Planificación
1.1.1.8,Existencia de una unidad de gestión ambiental,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Planificación
1.1.1.9,Centro de recuperación de residuos valorizables,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Planificación
1.1.1.10,"Cobertura del servicio de recolección, depósito y tratamiento ",Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.11,Recolección de residuos valorizables,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.12,Cobertura del Servicio de Recolección de Residuos Valorizables,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.13,Porcentaje de valorización en el servicio,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.14,Sensibilización de la ciudadanía en respuesta al servicio,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.15,Recursos del servicio destinados por distrito,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.16,Ingresos y gastos del servicio (Indicador de decisión),Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.17,Nivel de ejecución de los recursos disponibles (Recolección),Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.18,Recursos destinados al desarrollo del servicio,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.19,Morosidad respecto al monto total puesto al cobro,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.20,Nivel de ejecución de recursos (Depósito y tratamiento),Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.21,Recursos destinados al desarrollo (Depósito y tratamiento),Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.22,Morosidad (Depósito y tratamiento),Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.23,Mecanismo para disposición y tratamiento de residuos,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Ejecución
1.1.1.24,Grado de satisfacción del usuario,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Evaluación
1.1.1.25,Plan de mejora según satisfacción del usuario,Básicos,Salubridad Pública,"Recolección, depósito y tratamiento de residuos sólidos",Evaluación
1.1.2.1,Se brinda el servicio de aseo de vías y sitios públicos,Básicos,Salubridad Pública,Aseo de vías y sitios públicos,Planificación
1.1.2.2,Reglamento del servicio de aseo de vías,Básicos,Salubridad Pública,Aseo de vías y sitios públicos,Planificación
1.1.2.3,Planificación del servicio de aseo de vías,Básicos,Salubridad Pública,Aseo de vías y sitios públicos,Planificación
1.1.2.4,Identificación de la población vulnerable,Básicos,Salubridad Pública,Aseo de vías y sitios públicos,Planificación
1.1.2.5,Frecuencia en la actualización de la tasa,Básicos,Salubridad Pública,Aseo de vías y sitios públicos,Planificación
