Municipalidad,Código,Valor,Cantón
Municipalidad de Abangares,1.1.1.1,,Abangares
Municipalidad de Acosta,1.1.1.1,,Acosta
Municipalidad de Alajuela,1.1.1.1,,Alajuela
Municipalidad de Alajuelita,1.1.1.1,,Alajuelita
Municipalidad de Alvarado,1.1.1.1,,Alvarado
Municipalidad de Aserrí,1.1.1.1,,Aserrí
Municipalidad de Atenas,1.1.1.1,,Atenas
Municipalidad de Bagaces,1.1.1.1,,Bagaces
Municipalidad de Barva,1.1.1.1,,Barva
Municipalidad de Belén,1.1.1.1,,Belén
Municipalidad de Buenos Aires,1.1.1.1,,Buenos Aires
Municipalidad de Cañas,1.1.1.1,,Cañas
Municipalidad de Carrillo,1.1.1.1,,Carrillo
Municipalidad de Cartago,1.1.1.1,,Cartago
Municipalidad de Corredores,1.1.1.1,,Corredores
Municipalidad de Coto Brus,1.1.1.1,,Coto Brus
Municipalidad de Curridabat,1.1.1.1,,Curridabat
Municipalidad de Desamparados,1.1.1.1,,Desamparados
Municipalidad de Dota,1.1.1.1,,Dota
Municipalidad de El Guarco,1.1.1.1,,El Guarco
Municipalidad de Escazú,1.1.1.1,,Escazú
Municipalidad de Esparza,1.1.1.1,,Esparza
Municipalidad de Flores,1.1.1.1,,Flores
Municipalidad de Garabito,1.1.1.1,,Garabito
Municipalidad de Goicoechea,1.1.1.1,,Goicoechea
Municipalidad de Golfito,1.1.1.1,,Golfito
Municipalidad de Grecia,1.1.1.1,,Grecia
Municipalidad de Guácimo,1.1.1.1,,Guácimo
Municipalidad de Guatuso,1.1.1.1,,Guatuso
Municipalidad de Heredia,1.1.1.1,,Heredia
Municipalidad de Hojancha,1.1.1.1,,Hojancha
Municipalidad de Jiménez,1.1.1.1,,Jiménez
Municipalidad de La Cruz,1.1.1.1,,La Cruz
Municipalidad de La Unión,1.1.1.1,,La Unión
Municipalidad de León Cortes,1.1.1.1,,León Cortes
Municipalidad de Liberia,1.1.1.1,,Liberia
Municipalidad de Limón,1.1.1.1,,Limón
Municipalidad de Los Chiles,1.1.1.1,,Los Chiles
Municipalidad de Matina,1.1.1.1,,Matina
Municipalidad de Montes de Oca,1.1.1.1,,Montes de Oca
Municipalidad de Montes de Oro,1.1.1.1,,Montes de Oro
Municipalidad de Monteverde,1.1.1.1,,Monteverde
Municipalidad de Mora,1.1.1.1,,Mora
Municipalidad de Moravia,1.1.1.1,,Moravia
Municipalidad de Nandayure,1.1.1.1,,Nandayure
Municipalidad de Naranjo,1.1.1.1,,Naranjo
Municipalidad de Nicoya,1.1.1.1,,Nicoya
Municipalidad de Oreamuno,1.1.1.1,,Oreamuno
Municipalidad de Orotina,1.1.1.1,,Orotina
Municipalidad de Osa,1.1.1.1,,Osa
Municipalidad de Palmares,1.1.1.1,,Palmares
Municipalidad de Paraíso,1.1.1.1,,Paraíso
Municipalidad de Parrita,1.1.1.1,,Parrita
Municipalidad de Pérez Zeledón,1.1.1.1,,Pérez Zeledón
Municipalidad de Póas,1.1.1.1,,Póas
Municipalidad de Pococí,1.1.1.1,,Pococí
Municipalidad de Puerto Jiménez,1.1.1.1,,Puerto Jiménez
Municipalidad de Puntarenas,1.1.1.1,,Puntarenas
Municipalidad de Puriscal,1.1.1.1,,Puriscal
Municipalidad de Quepos,1.1.1.1,,Quepos
Municipalidad de Río Cuarto,1.1.1.1,,Río Cuarto
